date,size,value,momentum,quality,low_volatility
2021-02-28,0.15,0.25,0.25,0.2,0.15
2021-03-31,0.15,0.25,0.25,0.2,0.15
2021-04-30,0.15,0.25,0.25,0.2,0.15
2021-05-31,0.15,0.25,0.25,0.2,0.15
2021-06-30,0.15,0.25,0.25,0.2,0.15
2021-07-31,0.15,0.25,0.25,0.2,0.15
2021-08-31,-0.21398275846439244,-0.08438665934579137,0.0,-0.5575973813260628,-0.14403320086375337
2021-09-30,-0.16875251180481618,0.043292422710419144,0.0,-0.5268377876799446,-0.26111727780482
2021-10-31,-0.081250198110975,-0.31337824917980844,0.0,-0.5312225768643178,-0.07414897584489875
2021-11-30,0.02541861972886001,-0.29127812065472475,0.0,-0.6132453181197839,-0.07005794149663146
2021-12-31,-0.03995728255211649,-0.2104492297757083,0.0,-0.5246668585296177,-0.22492662914255743
2022-01-31,-0.06901196926270305,-0.21270192930541207,0.0,-0.5109922963095657,-0.20729380512231924
2022-02-28,-0.08097781858873643,-0.19291120259579927,0.0,-0.5669966066399963,-0.15911437217546787
2022-03-31,-0.06250015225429892,-0.21779588168183187,0.0,-0.5627413885260522,-0.15696257753781706
2022-04-30,0.14093409762374812,-0.29145273256288784,-0.3233063165756537,-0.060168026697844275,-0.18413882653986632
2022-05-31,-0.14198691645203498,-0.2198542653042307,-0.17392363927180798,-0.2662839827517821,-0.1979511962201443
2022-06-30,0.2162210554214544,-0.17977321021377515,0.12617478574934168,-0.4236374828343274,0.05419346578110141
2022-07-31,-0.22704560471961407,-0.23765939582941134,-0.36438515465021576,-0.07817985293685176,-0.09272999186390715
2022-08-31,-0.06934721822600666,-0.19682100757135723,-0.2791003104502868,-0.43852813911036187,-0.016203324641987517
2022-09-30,0.22945367294813515,-0.260700536277625,-0.08687821194441617,-0.3583453494181054,0.06462222941171841
2022-10-31,0.11237440192210729,-0.027742440098613673,-0.08628450317499485,-0.6946535494918356,-0.07894510531244865
2022-11-30,0.1486910458934153,-0.1855344814895193,-0.0714639127481682,-0.5303110051569709,-0.06399955471192627
2022-12-31,0.2227250406478439,0.04664057529504265,-0.025502830664306187,-0.574714786571749,0.1304167668210583
2023-01-31,0.3127662883700343,0.19260737036299352,0.0851578349579624,-0.2875465547688876,-0.12192195154012227
2023-02-28,0.35128008138857575,0.1419298416745968,0.08166621578275703,-0.16600168344127994,-0.2591221777127905
2023-03-31,0.34627772541049445,0.1709896214100188,0.07716546729326065,-0.1513093218047933,-0.2542578640814328
2023-04-30,0.3336262496898029,0.19028539305968858,-0.046104313697058266,-0.15286216522557416,-0.277121878327876
2023-05-31,0.3054891601143991,0.15989118090590596,-0.07693471797699754,-0.15768926621802914,-0.2999956747846684
2023-06-30,0.2959930176484672,0.16797210142787475,-0.06096733326328507,-0.17431270198011947,-0.30075484568025346
2023-07-31,0.29699540638348226,0.16427850262313132,-0.08773861216826306,-0.24832088414945896,-0.20266659467566453
2023-08-31,0.26941006109856214,0.1343345271578376,-0.10543898062505692,-0.1724688874950867,-0.3183475436234566
2023-09-30,0.22307144650753888,0.18985517283358203,-0.05910316353261987,-0.1942458378859785,-0.3337243792402807
2023-10-31,0.12429574917875251,0.25173585094337037,0.07979923605468763,-0.22665448362557322,-0.31751468019761636
2023-11-30,-0.03748472917664808,0.18150875446715234,0.16840277709858217,0.06752839413576613,-0.5450753451218513
2023-12-31,-0.06421289156661476,0.1771580017564472,0.14561906527469567,0.13459015667372687,-0.47841988472851554
2024-01-31,-0.13759814498136866,0.08037392980149806,0.13219419027299925,0.25774560750584385,-0.39208812743829013
2024-02-29,-0.09848573901431101,-0.08989297194173264,-0.23523922074636244,0.10891331406142385,-0.46746875423616996
2024-03-31,0.04239795516358675,0.21391871960275793,-0.12088848059552502,0.37100215534410924,-0.2517926892940211
2024-04-30,0.0790233680743595,0.22510229962906447,-0.10649134652219154,0.41866870002316736,-0.17071428575121714
2024-05-31,0.11721423580684552,0.21974392102312823,-0.03598116857397294,0.504388972263773,-0.12267170233228031
2024-06-30,0.10685013986796009,0.107965101386985,-0.17482733120264043,0.5174900809587308,0.09286734658368365
2024-07-31,0.013024607774952795,0.11852197737834907,-0.17077305242103707,0.5816520517279654,-0.11602831069769562
2024-08-31,0.19459435726183683,-0.008198291986276281,-0.021160329582573103,0.6343855437953659,-0.14166147737394774
2024-09-30,0.016692974639048546,0.1315377244516577,-0.3266000383723183,0.2980403520894122,-0.2271289104475632
2024-10-31,0.09051648787533892,0.11500444989071248,-0.34802384881466253,0.18313981390478246,-0.2633153995145036
2024-11-30,-0.029528996846763203,0.18200120616849486,-0.3801833404611011,0.21042540743317387,-0.19786104909046698
2024-12-31,-0.013297891805710242,0.15164942695839584,-0.42555700778823524,0.214023341674976,-0.19547233177268275
2025-01-31,-0.033000793039141975,0.12422199383279284,-0.4063042788135881,0.23875381830065,-0.19771911601382702
2025-02-28,-0.1163726825484873,0.021481691943229013,-0.38429972174625104,0.2927447570714447,-0.18510114669058803
2025-03-31,-0.21617964046878232,-0.1435842254521764,-0.26168979219259686,0.3210504090586216,-0.057495932827822845
2025-04-30,-0.21988896848309977,-0.14639720562204395,-0.25299568838497494,0.31938751316290687,-0.061330624346974595
2025-05-31,-0.25095949447221017,-0.12726557650068943,-0.3281979721860557,0.24850099805879683,-0.0450759587822478
2025-06-30,-0.16466527048158494,0.1414049928519843,-0.22977415176404148,0.3766484808720799,-0.0875071040303094
2025-07-31,-0.10388494640018774,0.06294716006918215,-0.32218406704493174,0.41538279843010784,-0.09560102805559062
2025-08-31,-0.14803404692623898,0.08409547700119019,-0.3672140558416996,0.40015043399585065,-0.0005059862350204837
2025-09-30,-0.05992186044553294,0.11034519137134999,-0.3327965197736169,0.4377856605718687,0.05915076783763157
2025-10-31,0.13736890118490208,0.10532227224975674,-0.12188489847621153,0.48661127220907624,-0.14881265588005327
2025-11-30,0.18843196622726746,0.022613224151392674,-0.13234766842633527,0.47077472591000274,-0.1858324152850018
